00401000  type_info_destructor_dealloc
0040C5C3  _strtoxl
0040C782  _strtol
0040C799  _strtoul
0040C7B0  _srand
0040C7BD  _rand
0040C7DF  GetSystemTime
0040C818  ctrlevent_capture(x)
0040C884  ctrlevent_capture_exitproc
0040C8A7  _siglookup
0040C8D5  _signal
0040CA6D  _signal_exitproc
0040CA76  _strtok
0040CB2B  __mbsicmp
0040CC76  __endthreadex
0040CCA7  _threadstartex(x)
0040CD1C  sub_40CD1C
0040CD30  ___exit
0040CD3C  __beginthreadex
0040CDC7  SystemTimeToAscTime
0040CDE0  __wcsicmp
0040CE8D  __ismbcspace
0040CF11  __mbsrchr
0040CF80  _shortsort
0040CFF0  _qsort
0040D273  ___mbspbrk_mt
0040D2EF  __mbspbrk
0040D316  __mbsstr
0040D3C8  __fsopen
0040D41A  __fsopen_exitproc
0040D424  _fopen
0040D437  __fclose_lk
0040D483  _fclose
0040D4C9  _fclose_exitproc
0040D4D4  _localtime
0040D660  __aulldiv
0040D6C8  _asctime
0040D7D3  ___towlower_mt
0040D840  _strstr
0040D8C6  ___initstdio
0040D96F  ___endstdio
0040D983  __lock_file
0040D9B2  __lock_file2
0040D9D5  __unlock_file
0040DA04  __unlock_file2
0040DA27  __openfile
0040DB8F  __getstream
0040DCA5  __getstream_exitproc
0040DCB1  __close_lk
0040DD34  __close
0040DDA8  __close_exitproc
0040DDCF  __freebuf
0040DDFA  __flush
0040DE57  __fflush_lk
0040DE85  _flsall
0040DF20  ___unlock_file2
0040DF51  _flsall_exitproc
0040DF5A  __flushall
0040DF63  _gmtime
0040E06A  _write_char
0040E09D  _write_multi_char
0040E0C1  _write_string
0040E0F8  __output
0040E8F2  ___crtLCMapStringW
0040EB4B  ___iswctype_mt
0040EBA2  __fcloseall
0040EC34  __fcloseall_exitproc
0040EC3D  __tsopen_lk
0040EF24  __sopen
0040EF69  __sopen_exitproc
0040EF79  __set_osfhnd
0040EFF5  __free_osfhnd
0040F074  __get_osfhandle
0040F0B5  __lock_fhandle
0040F149  __lock_fhandle_exitproc
0040F155  __unlock_fhandle
0040F177  __alloc_osfhnd
0040F24A  ___unlock_20
0040F2EA  __alloc_osfhnd_exitproc
0040F2F3  __write_lk
0040F4C1  __write
0040F545  __write_exitproc
0040F56C  __commit
0040F609  __commit_exitproc
0040F628  __isatty
0040F652  __flsbuf
0040F76B  ___wctomb_mt
0040F7CB  _wctomb
0040F7F2  ___crtGetStringTypeW
0040FA17  __chsize_lk
0040FB58  __read_lk
0040FD33  __read
0040FDB7  __read_exitproc
0040FDDE  __lseek_lk
0040FE52  __lseek
0040FED6  __lseek_exitproc
0040FEFD  __lseeki64_lk
0040FF80  __getbuf
0040FFC4  __fptrap
0040FFCD  __setmode_lk
0041003A  ImmGetContext
00410040  ImmSetCompositionStringA
00410046  ImmReleaseContext
0041004C  ImmGetCompositionStringA
00410052  ImmAssociateContext
00410058  VerQueryValueA
0041005E  GetFileVersionInfoSizeA
00410064  GetFileVersionInfoA
0041006A  SMemAlloc
00410070  SMemFree
00410076  SRegLoadValue
0041007C  SStrNCat
00410082  SStrVPrintf
00410088  SStrChrR
0041008E  SStrCopy
00410094  SStrCmpI
0041009A  SStrChr
004100A0  SStrLen
004100A6  SNetSendReplayPath
004100AC  SRegLoadString
004100B2  SFileOpenArchive
004100B8  SFileCloseFile
004100BE  SFileCloseArchive
004100C4  SFileOpenFileEx
004100CA  SFileSetLocale
004100D0  SStrHash
004100D6  SStrCmp
004100DC  SNetGetProviderCaps
004100E2  SBltROP3
004100E8  SVidPlayContinueSingle
004100EE  SVidPlayEnd
004100F4  SVidPlayBegin
004100FA  SErrGetLastError
00410100  SNetRegisterEventHandler
00410106  SNetEnumGamesEx
0041010C  SNetCreateGame
00410112  SNetDestroy
00410118  SNetCreateLadderGame
0041011E  SNetJoinGame
00410124  SNetInitializeProvider
0041012A  SNetPerformUpgrade
00410130  SFileGetFileName
00410136  SFileSetIoErrorMode
0041013C  SFileOpenFile
00410142  SFileGetFileSize
00410148  SFileReadFile
0041014E  SBmpAllocLoadImage
00410154  SBmpLoadImage
0041015A  SNetLeagueLogout
00410160  SDrawCaptureScreen
00410166  STrans442
0041016C  SMemCopy
00410172  SErrSetLastError
00410178  SMemZero
0041017E  SNetGetNumPlayers
00410184  SNetGetPlayerName
0041018A  SNetSetGameMode
00410190  SNetLeaveGame
00410196  SNetReportGameResult
0041019C  SNet144
004101A2  SNetGetGameInfo
004101A8  SNetDropPlayer
004101AE  SFileLoadFileEx
004101B4  SFileUnloadFile
004101BA  SBmpDecodeImage
004101C0  SFileDdaInitialize
004101C6  SVidInitialize
004101CC  SFileDdaBeginEx
004101D2  SVidDestroy
004101D8  SFileDdaEnd
004101DE  SFileDdaDestroy
004101E4  SFileDdaGetPos
004101EA  SNetSendMessage
004101F0  SNetReceiveMessage
004101F6  SErrGetErrorStr
004101FC  SNetReceiveTurns
00410202  SNetSendTurn
00410208  SNetEnumGames
0041020E  SNetGetLeaguePlayerName
00410214  SNetGetLeagueName
0041021A  SNetInitializeDevice
00410220  SNetEnumProviders
00410226  SRegSaveString
0041022C  SDlgSetBitmapE
00410232  SDlgDialogBoxIndirectParam
00410238  storm_224
0041023E  SDrawGetFrameWindow
00410244  SDrawUpdatePalette
0041024A  SNetSelectGame
00410250  SRegLoadData
00410256  SRegSaveData
0041025C  SFileGetFileArchive
00410262  SFileGetArchiveName
00410268  SFileDdaSetVolume
0041026E  SNetGetPlayerNames
00410274  SNetGetTurnsInTransit
0041027A  SRegSaveValue
00410280  SNetSendServerChatCommand
00410286  SNetSendLeagueCommand
0041028C  SBigPowMod
00410292  SBigDel
00410298  SBigToBinaryBuffer
0041029E  SStrUpper
004102A4  SMemFill
004102AA  SMemCmp
004102B0  SBigFromBinary
004102B6  SBigNew
004102BC  SRegDeleteValue
004102C2  SFileLoadFile
004102C8  SNetGetPlayerCaps
004102CE  SGdiSelectObject
004102D4  SDlgDefDialogProc
004102DA  SDlgEndDialog
004102E0  SGdiExtTextOut
004102E6  SGdiSetPitch
004102EC  SGdiDeleteObject
004102F2  SDlgSetControlBitmaps
004102F8  SBltROP3Clipped
004102FE  SGdiImportFont
00410304  storm_393
0041030A  SDlgBltToWindowE
00410310  STransBlt
00410316  STransDelete
0041031C  STransCreateE
00410330  scSpecialChars
004103E7  restoreStackPartial
00410430  crc32pk
00410470  pk_explode
004105F0  pk_Expand
004106F0  DecodeLit
004108A0  DecodeDist
00410920  WasteBits
004109B0  GenDecodeTabs
004109F0  GenAscTabs
00410AF0  lmemcpy
00410B30  pk_implode
00410CD0  WriteCmpData
00411050  FindRep
00411390  OutputBits
00411420  lmemset
00411490  FlushBuf
00411510  SortBuffer
004115C3  __vsnprintf
00411619  _setvbuf
004116EB  _setvbuf_exitproc
004116F5  _fread
004117DE  __lockread
00411820  __lockread_exitproc
0041182A  _fwrite
00411931  __lockwrite
00411973  __lockwrite_exitproc
0041197D  __ftell_lk
00411ADF  __fseek_lk
00411B6E  _fseek
00411BAD  _fseek_exitproc
00411BB7  _fgetc
00411BFC  _fgetc_exitproc
00411C07  ___toupper_mt
00411CD0  _toupper
00411CF2  __mbslen
00411D37  __filbuf
00411E18  SErrSuppressErrors
00411E1E  STransIntersectDirtyArray
00411E24  SDrawManualInitialize
00411E2A  STransSetDirtyArrayInfo
00411E30  SDrawRealizePalette
00411E36  STransInvertMask
00411E3C  STransDuplicate
00411E42  STransCombineMasks
00411E48  SDrawUnlockSurface
00411E4E  SDrawLockSurface
00411E54  STransBltUsingMask
00411E5A  SRgn523
00411E60  SRgn529i
00411E66  SRgn524
00411E6C  SRgn525
00411E72  SCodeCompile
00411E78  SCodeExecute
00411E7E  SCodeDelete
00411E84  SVidGetSize
00411EC0  AES_Comp
004132B0  MD5_0
00413380  MD5_1
00413440  CopySectionData
004134A0  ChunkNode_Constructor
00413550  sub_413550
004135C0  sub_4135C0
00413670  sub_413670
00413710  ReadChunkNodes
004137F0  mapAuthProc
00413850  sub_413850
00413870  spreadsCreep
004138C0  sub_4138C0
00413900  sub_413900
00413A10  FreeCreepData
00413A70  sub_413A70
00413AA0  sub_413AA0
00413B30  sub_413B30
00413C00  sub_413C00
00413C50  sub_413C50
00413D10  sub_413D10
00413DB0  sub_413DB0
00413FA0  sub_413FA0
004140A0  sub_4140A0
00414100  readCreepFile
00414180  sub_414180
00414230  sub_414230
00414290  sub_414290
00414440  sub_414440
00414560  sub_414560
00414680  sub_414680
004148F0  sub_4148F0
00414A30  sub_414A30
00414C00  sub_414C00
00414C90  sub_414C90
00414D30  sub_414D30
00414DD0  sub_414DD0
00414E30  ScrollerKeyPress
00414F10  sub_414F10
00415090  sub_415090
00415140  sub_415140
004152F0  scrollerUpdate
00415340  sub_415340
004153B0  sub_4153B0
004155A0  genericHScrollUpdate
00415760  genericVScrollUpdate
00415910  sub_415910
00415980  sub_415980
00415A90  sub_415A90
00415AF0  genericScrollerInteract
00415CC0  loadTBL
00415DC0  sub_415DC0
00415F30  sub_415F30
00416000  waitLoopCntd
00416090  SetCallbackTimer
004161C0  koreanTextLeadByteCheck
00416240  sub_416240
00416450  sub_416450
004164D0  sub_4164D0
004165C0  sub_4165C0
00416600  sub_416600
00416650  sub_416650
00416690  sub_416690
00416710  sub_416710
00416790  sub_416790
004167F0  DlgDrawEditText
00416980  genericEditInteract
00416D90  DeleteSCode
00416ED0  ExecuteSCode
00416F30  sub_416F30
00417130  sub_417130
00417270  sub_417270
004172F0  DrawTransparencies
004174A0  sub_4174A0
004178B0  sub_4178B0
00417A10  sub_417A10
00417C20  CompileSCode
00417E20  pDLGInteract
00417E30  sub_417E30
00417E50  setSelectedIndexDirect
00417E70  doUserEvent
00417EB0  sub_417EB0
00417F00  dlgUpdate1
00418010  sub_418010
00418030  sub_418030
00418080  getControlFromIndex
004180A0  DLG_prevEntry
004180C0  DLG_nextEntry
004180D0  sub_4180D0
00418100  registerUserDialogAction
00418170  sub_418170
004181D0  sub_4181D0
00418220  sub_418220
00418270  sub_418270
004182F0  sub_4182F0
00418340  dlgSetMouseOver
00418410  sub_418410
00418440  sub_418440
00418480  FreeDialogDestBuffer
004184A0  sub_4184A0
004184E0  sub_4184E0
00418510  sub_418510
00418580  UpdateDlgOnFlag
004185A0  sub_4185A0
004185E0  sub_4185E0
00418600  sub_418600
00418640  disableDialog
004186A0  showDialog
00418700  HideDialog
00418790  sub_418790
00418830  sub_418830
004188E0  sub_4188E0
00418900  sub_418900
00418960  ShowDialog
00418A10  sub_418A10
00418A60  SetNextActiveElement
00418AB0  sub_418AB0
00418C40  genericCommonInteract
00418E00  sub_418E00
00418E60  statRes_Text_Interact
00418EB0  genericDlgInteract
00419190  genericLabelInteract
004191E0  genericImageInteract
00419290  sub_419290
004194E0  allocInitDialogData
004195E0  sub_4195E0
00419640  sub_419640
004196A0  sub_4196A0
004196F0  sub_4196F0
00419740  pressGlobalDlgHotkey
004197B0  DlgGrp_Constructor
00419CB0  DestroyScreenLayer
00419D20  InitializeDialog
00419E50  setFontHandleFromFlags
00419EA0  DestroyDialog
00419F80  sub_419F80
00419FD0  sendInputToAllDialogs
0041A030  InitializeScreenLayer
0041A080  gluLoadBINDlg
0041A110  sub_41A110
0041A140  sub_41A140
0041A1B0  sub_41A1B0
0041A270  isCursorInDlgControl
0041A2C0  sub_41A2C0
0041A490  sub_41A490
0041A4E0  sub_41A4E0
0041A530  sub_41A530
0041A580  sub_41A580
0041A600  DlgSetSelected
0041A6A0  scrollerUpdateParent
0041A6D0  dlgFontSize
0041A850  dlgSetSelectedImmediate
0041A890  sub_41A890
0041A9D0  dlgScrollKeyInteract
0041AB20  sub_41AB20
0041AC20  sub_41AC20
0041AC50  dlgComboboxUpdate
0041AE90  sub_41AE90
0041AF10  listboxEntryUpdate
0041B110  genericComboboxUpdate
0041B140  sub_41B140
0041B300  sub_41B300
0041B3D0  sub_41B3D0
0041B3F0  sub_41B3F0
0041B410  CreateDLGDropdown
0041B550  sub_41B550
0041B620  sub_41B620
0041B760  AddItemToListing
0041B890  genericListboxDropdown
0041B8F0  genericListboxDestroy
0041B950  genericListboxUpdate
0041BAA0  genericListboxInteract
0041BC40  genericComboboxInteract
0041BDA0  isDialogInRect
0041BE70  sub_41BE70
0041BED0  sub_41BED0
0041BF60  sub_41BF60
0041BFC0  sub_41BFC0
0041C080  sub_41C080
0041C200  _RgnUnk
0041C2C0  RefreshCursorRect
0041C400  updateDialog
0041C4F0  sub_41C4F0
0041C5A0  sub_41C5A0
0041C5D0  CtrlNode_Constructor
0041C780  updateAllDlgs
0041C7B0  sub_41C7B0
0041C810  sub_41C810
0041CA00  gluDlgSetRect
0041CB50  DialogUpdateProc
0041CF60  sub_41CF60
0041D090  BWFXN_PrintIcon
0041D160  sub_41D160
0041D210  sub_41D210
0041D260  BlitSurface
0041D3A0  BlitDirtyArray
0041D420  DoBltUsingMask
0041D470  UpdateDirtyArrays
0041D540  TransDestroy
0041D5A0  updateConsoleImage
0041D640  BltMask_Constructor
0041D710  realizePalette
0041D7D0  sub_41D7D0
0041D810  MinimapFill
0041D8B0  DDrawDestroy
0041D930  DDrawInit
0041DC20  sub_41DC20
0041DE20  refreshRect
0041DEB0  BlitBitmap
0041DF40  BlitCursorSurface
0041E050  InitializeImage
0041E0A0  DestroyImage
0041E0D0  BWFXN_Refresh
0041E230  RefreshCursorScreen
0041E280  DirtyArrayHandling
0041E450  sub_41E450
0041E480  SetCurrentPaletteInfo
0041E4B0  sub_41E4B0
0041E4F0  sub_41E4F0
0041E5C0  sub_41E5C0
0041E7B0  sub_41E7B0
0041E870  updatePaletteEntries
0041E8B0  gluDlgGetTickCount
0041E900  colorCycleInterval
0041E930  sub_41E930
0041E9E0  sub_41E9E0
0041EA30  TitlePaletteUpdate
0041EAB0  CreateDirectory
0041EB80  GetFileInfo
0041EC40  createErrorsDirectory
0041ECB0  createErrFile
0041EE50  ProcError
0041EF00  ErrorLog
0041EFD0  ErrorLogSystemInfo
0041F0A0  ___vsnprintf
0041F0C0  localLoadResource
0041F110  localLoadString
0041F140  localLoadAccelerators
0041F170  localFreeLibrary
0041F190  localLoadLibrary
0041F1B0  sprintf_s
0041F1D0  localGetLang
0041F270  sub_41F270
0041F2B0  writeWindowText
0041F610  getColourHandle
0041F7C0  getCharacterWidth
0041F920  setTextAlignment
0041FB30  SetFontHandle
0041FC20  sub_41FC20
0041FC80  getMessageWidth
0041FCC0  sub_41FCC0
0041FD10  LoadFont
0041FD70  writeFontApplyColour
004200D0  PrintXY
004202B0  BWFXN_PrintXY
004204A0  ___lockwrite
004204C0  ___lockread
004204E0  __fgetc
004204F0  __fseek
00420500  __fclose
00420510  DeleteFile
00420540  pfopen
004205E0  saveRegOptions
00420640  ApplyDefaultOptions
004206A0  LoadRegOptions
004207B0  AppExit
00420860  dlgCenterScreen_0
004208E0  ErrMessageBox
00420980  SysWarningProc
00420A30  DSERR_GetString
00420B90  DDERR_GetString
00421140  GetErrorString
004211F0  ErrorDDrawInit
004212C0  SysWarn_FileNotFound
00421360  SystemWarning_Configuration
004213A0  SystemWarning_PhysicalMemory
004213E0  SystemWarning_PentiumProcessor
00421460  SystemWarning_20MBDiskSpace
004214D0  DLGErrFatal
004215D0  FatalError
004215E0  SetCursorClipBounds
00421670  _SetCursorPos
00421690  _ClipCursor
00421730  doCursorClip
00421770  sub_421770
004217E0  sub_4217E0
004218E0  sub_4218E0
00421910  sub_421910
00421BA0  sub_421BA0
00421C60  sub_421C60
00421CD0  sub_421CD0
004220C0  sub_4220C0
00422160  sub_422160
00422600  sub_422600
004228E0  sub_4228E0
00422A90  sub_422A90
00422C90  sub_422C90
00422FA0  sub_422FA0
00423180  BTNSACT_DoNothing
00423190  getLarvaeUnitsFromList
004231D0  CMDACT_CancelNuke
004231F0  CMDACT_MergeDarkArchon
00423210  CMDACT_MergeArchon
00423230  CMDACT_Lift
00423270  CMDACT_Decloak
00423290  CMDACT_Unburrow
004232B0  CMDACT_Burrow
004232D0  CMDACT_CancelAddon
004232F0  CMDACT_CancelUpgrade
00423310  CMDACT_Upgrade
00423330  CMDACT_CancelResearch
00423350  CMDACT_Research
00423370  CMDACT_HoldPosition
00423390  CMDACT_TrainFighter
004233B0  CMDACT_ReaverStop
004233D0  CMDACT_CarrierStop
004233F0  CMDACT_Stop
00423410  CMDACT_CancelUnitMorph
00423430  CMDACT_CancelConstruction
00423450  CMDACT_Siege
00423470  CMDACT_Unsiege
00423490  CMDACT_CancelTrain
004234B0  CMDACT_Train
004234D0  CMDACT_Stimpack
00423540  unit_CanCloak
00423660  TechUseCheckForGroupEnergyCost
00423730  CMDACT_Cloak
00423760  CMDACT_ReturnCargo
00423790  CMDACT_UnitMorph
00423860  CMDACT_BuildingMorph
00423930  BTNSACT_SelectLarva
004239E0  BTNSACT_Heal
00423A40  BTNSACT_UseNuke
00423AA0  BTNSACT_RechargeShields
00423B00  CMDACT_UnloadAll
00423B40  BTNSACT_LoadUnit
00423B70  BTNSACT_Harvest
00423BD0  BTNSACT_Repair
00423C30  BTNSACT_BuildingLand
00423C40  BTNSACT_PlaceNydusExit
00423C50  BTNSACT_ZergBuild
00423D10  BTNSACT_PlaceAddon
00423DD0  BTNSACT_BuildProtoss
00423E90  BTNSACT_PlaceCOP
00423EB0  BTNSACT_BuildTerran
00423F70  BTNSACT_UseTech
00424140  BTNSACT_Patrol
004241A0  BTNSACT_ReaverAttack
00424200  BTNSACT_CarrierAttack
00424260  BTNSACT_CarrierMove
004242C0  BTNSACT_TowerAttack
00424320  BTNSACT_AttackUnit
00424380  BTNSACT_AttackMove
00424440  BTNSACT_Move
004244A0  BTNSACT_RallyPoint
00424500  UnitStatCond_Never
00424520  UnitStatCond_Powerup
00424540  sub_424540
00424660  sub_424660
004246D0  sub_4246D0
00424780  sub_424780
004248F0  sub_4248F0
00424980  UnitStatCond_Standard
00424A10  sub_424A10
00424AC0  UnitStatCond_Egg
00424AF0  UnitStatCond_Archon
00424B50  UnitStatCond_CarrierReaver
00424BA0  setSpellSpecialBtnGraphic
00424F10  UnitStatCond_Dropship
00424FC0  sub_424FC0
00425180  UnitStatCond_Building
00425230  sub_425230
00425310  sub_425310
004253D0  StatHangerCount
00425510  sub_425510
00425600  sub_425600
